event, 50th_percentile
1,7.0
2,203.0
3,342.0
4,524.5
5,1640.0
6,1640.5
7,1152.5
8,1423.0
9,1641.0
10,1901.0
11,2225.0
12,2531.0
13,2897.0
14,3268.0
15,3442.0
16,3616.0
17,3779.0
18,3934.0
19,4100.0
20,4254.0
21,4415.0
22,4562.0
23,4733.0
24,4886.5
25,5084.0
26,5241.0
27,5377.0
28,5544.0
29,5698.0
30,5876.0
31,6066.5
32,6204.0
33,6378.0
34,6553.0
35,6710.0
36,6908.5
37,7094.0
38,7256.0
39,7415.0
40,7574.0
41,7727.0
42,7913.5
43,8069.5
44,8217.5
45,8379.0
46,8508.0
47,8685.0
48,8821.0
49,9029.0
50,9220.0
51,9334.5
52,9516.5
53,9695.0
54,9825.5
55,10012.0
56,10177.0
57,10338.0
58,10492.0
59,10656.0
60,10820.5
61,11008.5
62,11148.0
63,11338.0
64,11471.0
65,11613.0
66,11762.0
67,11951.0
68,12119.0
69,12301.5
70,12454.0
71,12588.0
72,12765.0
73,12938.0
74,13091.0
75,13277.0
76,13424.0
77,13606.0
78,13768.5
79,13900.0
80,14081.0
81,14249.0
82,14452.5
83,14631.5
84,14815.0
85,14998.0
86,15222.0
87,15499.5
88,15742.0
89,15944.5
90,16167.0
91,16499.0
92,16859.0
93,17238.5
94,17616.5
95,18051.5
96,18526.0
97,18999.0
98,19881.0
99,20632.5
100,22190.0
101,24106.0
102,52045.0
103,52201.0
104,52350.5
105,52513.0
106,52700.5
107,52927.5
108,53136.0
109,53404.0
110,53595.0
111,53907.0
112,54190.0
113,54542.0
114,54949.0
115,55266.0
116,55816.0
