events in window,maxHumidity
1000, 9984
23, 9925
983, 9985
1000, 9998
1000, 9990
1000, 9965
1000, 9971
1000, 9985
1000, 9994
1000, 9981
1000, 9985
0, 0
0, 0
0, 0
777, 9997
0, 0
0, 0
965, 9992
497, 9992
479, 9987
1000, 9972
0, 0
0, 0
482, 9979
580, 9997
0, 0
0, 0
1000, 9997
501, 9966
410, 9980
1000, 9986
0, 0
0, 0
837, 9981
5, 8204
990, 9993
0, 0
0, 0
812, 9989
165, 9986
1000, 9978
0, 0
0, 0
607, 9999
400, 9983
0, 0
0, 0
1000, 9995
222, 9900
0, 0
0, 0
765, 9997
847, 9997
5, 9262
0, 0
0, 0
1000, 9993
506, 9995
555, 9979
0, 0
0, 0
1000, 9996
267, 9932
705, 9997
1000, 9996
0, 0
0, 0
497, 9979
345, 9998
1000, 9993
0, 0
0, 0
692, 9999
140, 9998
0, 0
0, 0
1000, 9996
682, 9989
190, 9950
1000, 9993
0, 0
0, 0
722, 9996
200, 9999
1000, 9986
0, 0
0, 0
692, 9995
245, 9985
0, 0
0, 0
0, 0
0, 0
0, 0
1000, 9979
137, 9983
5, 8725
490, 9992
