events in window,avgHumidity
 173, 5194.468208092486
 121, 4834.768595041322
 76, 5305.6973684210525
 121, 5005.636363636364
 131, 4818.946564885497
 130, 5124.784615384616
 137, 5192.773722627737
 138, 5039.18115942029
 146, 5182.020547945205
 137, 5119.043795620438
 136, 5145.183823529412
 133, 5017.6766917293235
 133, 4804.045112781955
 120, 4876.45
 131, 4740.015267175572
 128, 4695.859375
 151, 5405.205298013245
 110, 4885.272727272727
 88, 5028.909090909091
 82, 4781.451219512195
 110, 5169.7
 127, 5382.204724409449
 130, 5322.153846153846
 146, 5688.36301369863
 91, 4632.285714285715
 155, 5196.877419354839
 199, 4849.804020100502
 116, 5177.956896551724
 105, 5203.0
 68, 4808.558823529412
 117, 5170.017094017094
 135, 4947.059259259259
 95, 5787.021052631579
 107, 5318.841121495327
 83, 5512.915662650603
 120, 5020.725
 43, 4863.604651162791
 170, 4882.488235294118
 109, 4625.577981651376
 159, 4914.578616352202
 68, 4615.676470588235
 120, 5099.016666666666
 101, 5574.633663366337
 126, 5145.9682539682535
 78, 5202.448717948718
 176, 5222.784090909091
 74, 4539.148648648648
 7, 3719.1428571428573
 172, 5245.796511627907
 269, 4514.617100371747
 84, 5129.083333333333
 117, 5202.470085470086
 102, 4948.333333333333
 127, 4690.913385826771
 93, 5041.698924731183
 115, 4651.069565217392
 109, 5212.761467889908
 33, 4880.787878787879
 206, 4972.150485436893
 99, 4671.262626262626
 129, 5020.356589147287
 20, 5085.35
 185, 5146.794594594595
 126, 5617.119047619048
 155, 4665.148387096774
 192, 5089.723958333333
 112, 5004.705357142857
 151, 4832.940397350993
 82, 4873.426829268293
 129, 5081.821705426357
 109, 5206.761467889908
 27, 4869.111111111111
 193, 5268.761658031088
 100, 5081.21
 164, 5139.640243902439
 78, 5044.705128205128
 117, 5083.547008547009
 110, 4744.418181818181
 131, 4762.160305343511
 81, 5067.777777777777
 99, 5000.313131313132
 35, 4356.028571428571
 229, 5121.803493449782
 160, 4796.6625
 106, 4849.669811320755
 100, 4800.14
 84, 4991.607142857143
 108, 5072.351851851852
 69, 4845.652173913043
 52, 5399.9807692307695
 55, 5060.690909090909
 59, 5094.966101694915
 86, 5068.779069767442
 188, 4899.414893617021
 109, 5002.082568807339
 98, 5375.163265306122
 47, 4869.95744680851
 96, 4736.364583333333
 131, 5327.1297709923665
 183, 5031.07650273224
 58, 4802.9655172413795
 41, 4081.9268292682927
 37, 5055.27027027027
 44, 5067.954545454545
 80, 5224.35
 137, 4718.708029197081
 92, 4656.5
 131, 4950.854961832061
 129, 5042.100775193799
 49, 5042.183673469388
 204, 5003.78431372549
 74, 5042.2972972972975
 28, 3990.25
 59, 5397.406779661017
 43, 5418.697674418605
 40, 5685.575
 100, 4961.83
 144, 4665.798611111111
 107, 4769.420560747663
 122, 4846.836065573771
 140, 4830.171428571429
 127, 5295.795275590551
 118, 4882.033898305085
 101, 5229.019801980198
 108, 5091.175925925926
 63, 4739.047619047619
 72, 4417.555555555556
 123, 5156.845528455285
 132, 4871.106060606061
 129, 4805.100775193799
 30, 4938.033333333334
 96, 5250.864583333333
 132, 5550.659090909091
 175, 5000.194285714286
 13, 5575.2307692307695
 45, 5123.533333333334
 65, 4912.984615384616
 52, 4637.7692307692305
 56, 5044.607142857143
 93, 5571.290322580645
 100, 4987.61
 186, 5115.5268817204305
 138, 5040.746376811594
 88, 5431.068181818182
 115, 4877.504347826087
 82, 4389.890243902439
 82, 4782.536585365854
 57, 4757.105263157895
 62, 5389.435483870968
 46, 5076.347826086957
 74, 4766.351351351352
 83, 4792.759036144578
 149, 4870.147651006711
 100, 4960.46
 131, 5198.030534351145
 147, 5502.775510204082
 93, 4784.8494623655915
 127, 5027.007874015748
 106, 5078.811320754717
 53, 5312.566037735849
 45, 4574.844444444445
 38, 4843.236842105263
 29, 3490.0689655172414
 93, 4673.225806451613
 129, 4882.333333333333
 120, 5128.6
 119, 4782.9327731092435
 119, 4643.100840336135
 59, 5622.813559322034
 58, 5666.758620689655
 39, 4489.48717948718
 42, 4724.714285714285
 105, 5017.885714285714
 68, 5627.235294117647
 47, 4787.0
 215, 4780.511627906977
 152, 5027.9473684210525
 49, 5142.7959183673465
 210, 4658.395238095238
 78, 5368.551282051282
 85, 4796.764705882353
 58, 4861.241379310345
 41, 5850.4390243902435
 40, 5669.55
 71, 4932.7464788732395
 71, 5309.295774647887
 218, 5127.266055045871
 111, 4854.927927927928
 19, 5254.8421052631575
