event count, distinct count
1,127
2,89
3,89
4,90
5,90
6,89
7,92
8,90
9,90
10,91
11,88
12,88
13,87
14,92
15,90
16,90
17,92
18,92
19,91
20,89
21,92
22,91
23,91
24,89
25,92
26,89
27,92
28,91
29,92
30,90
31,91
32,92
33,92
34,91
35,91
36,89
37,91
38,89
39,89
40,91
41,90
42,88
43,88
44,87
45,90
46,90
47,90
48,90
49,90
50,89
51,89
52,89
53,89
54,89
55,89
56,91
57,91
58,90
59,90
60,92
61,89
62,91
63,90
64,91
65,91
66,89
67,89
68,89
69,90
70,90
71,91
72,90
73,89
74,91
75,91
76,90
77,90
78,91
79,91
80,88
81,89
82,90
83,91
84,89
85,90
86,91
87,91
88,91
89,91
90,92
91,90
92,91
93,91
94,92
95,91
96,91
97,91
98,90
99,89
100,92
101,91
102,91
103,90
104,90
105,91
106,92
107,90
108,91
109,89
110,90
111,91
112,30
