event count, sum
1,918712
2,1990486
3,861190
4,658701
5,874516
6,930340
7,850927
8,707345
9,1614149
10,2463301
11,2204394
12,3047162
13,1802662
14,2093964
15,1357979
16,2138155
17,1334136
18,1820029
19,1146200
20,1172099
21,1089305
22,1105093
23,1477103
24,4563470
25,2906242
26,4589733
27,3388282
28,3484156
29,3540926
30,3969605
31,3848897
32,4128250
33,4211650
34,4252348
35,4203128
36,4345015
37,3643672
38,3782316
39,4086995
40,2982429
41,3648582
42,4785817
43,2777201
44,3968341
45,3591492
46,3921676
47,2930534
48,2907665
49,3431821
50,3866311
51,3573918
52,2689007
53,2882133
54,3543257
55,4035488
56,2244492
57,3673428
58,3195651
59,5445179
60,6433147
61,4759647
62,4918816
63,6739151
64,5131335
65,6613850
66,5211351
67,6599303
68,5220390
69,5959857
70,5941631
71,5493498
72,6209698
73,5191518
74,4069152
75,4132244
76,3551045
77,3706156
78,3309644
79,4197262
80,4291110
81,3871301
82,3706504
83,4070333
84,3835802
85,3927948
86,3696941
87,3045413
88,3623585
89,3978865
90,3408665
91,4007744
92,4231526
93,4273684
94,4481815
95,3868269
96,3223985
97,4117831
98,3667075
99,3784440
100,4161867
101,4401468
102,3274762
103,3535330
104,3859354
105,3970762
106,3280383
107,4148994
108,5230649
109,4391639
110,4343163
111,4361074
112,4130837
113,4769719
114,4402949
115,4404160
116,4708322
117,4138694
118,4353179
119,4809239
120,5099624
121,4160443
122,4465304
123,4170198
124,3996977
125,1019680
