event count, Expected sum
1, 3710898.0
2, 4026751.0
3, 4536042.0
4, 4395721.0
5, 4523573.0
6, 4528185.0
7, 4522465.0
8, 4559895.0
9, 4576631.0
10, 4543199.0
11, 4572606.0
12, 4577466.0
13, 4577454.0
14, 4592150.0
15, 4576400.0
16, 4575523.0
17, 4563728.0
18, 4569121.0
19, 4577208.0
20, 4585255.0
21, 4585950.0
22, 4587830.0
23, 4584470.0
24, 4555817.0
25, 4587119.0
26, 4563229.0
27, 4580539.0
28, 4559040.0
29, 4583803.0
30, 4577762.0
31, 4573130.0
32, 4595890.0
33, 4539515.0
34, 4553783.0
35, 4547856.0
36, 4590518.0
37, 4586510.0
38, 4578946.0
39, 4589607.0
40, 4570116.0
41, 4573695.0
42, 4578319.0
43, 4556370.0
44, 4561093.0
45, 4588391.0
46, 4580376.0
47, 4567738.0
48, 4598943.0
49, 4589727.0
50, 4578666.0
51, 4558893.0
52, 4554797.0
53, 4587039.0
54, 4576398.0
55, 4581605.0
56, 4588017.0
57, 4567691.0
58, 4571337.0
59, 4610760.0
60, 4586547.0
61, 4582745.0
62, 4584734.0
63, 4575047.0
64, 4549639.0
65, 4566942.0
66, 4576067.0
67, 4578234.0
68, 4593831.0
69, 4593907.0
70, 4566691.0
71, 4591157.0
72, 4573781.0
73, 4585204.0
74, 4575867.0
75, 4576522.0
76, 4596126.0
77, 4586539.0
78, 4607760.0
79, 4569035.0
80, 4589540.0
81, 4569636.0
82, 4596481.0
83, 4601718.0
84, 4577723.0
85, 4580700.0
86, 4573801.0
87, 4568981.0
88, 4590488.0
89, 4587687.0
90, 4573352.0
91, 4581569.0
92, 4589508.0
93, 4587699.0
94, 4575484.0
95, 4584779.0
96, 4601232.0
97, 4578484.0
98, 4577908.0
99, 4570236.0
100, 4585740.0
101, 4590386.0
102, 4583035.0
103, 4594285.0
104, 4580225.0
105, 4599345.0
106, 4575645.0
107, 4569056.0
108, 4572897.0
